"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="1616","億泰","01/09","27.35","+0.35","+1.3","年","0","0","0","0","0","0","0","0","0","0",""
="1617","榮星","01/09","14.45","+0.05","+0.35","年","0","0","0","0","0","0","0","0","0","0",""
="1618","合機","01/09","41","+0.05","+0.12","年","0","0","0","0","0","0","0","0","0","0",""
="1626","艾美特-KY","01/09","11","-0.15","-1.35","年","0.122","0","0","0","0.2","0.399","0","0.5","0","0",""
="1702","南僑","01/09","38.85","+0.1","+0.26","年","0","0","0","0","0","0","0","0","0","0",""
="1708","東鹼","01/09","32.7","-0.4","-1.21","年","0.3","0.5","0","0.5","0.8","0.9","0","0","0","0",""
="1710","東聯","01/09","12.55","-0.15","-1.18","年","0","0","0","0","0","0","0","0","0","0",""
="1711","永光","01/09","21.05","+0.5","+2.43","年","0","0","0","0","0","0","0","0","0","0",""
="1712","興農","01/09","45","+0.15","+0.33","年","0","0","0","0","0","0","0","0","0","0",""
="1713","國化","01/09","47.3","-0.9","-1.87","年","0","0","0","0","0","0","0","0","0","0",""
="1714","和桐","01/09","8.95","-0.02","-0.22","年","0.039","0.35","0","0","0","0","0","0","0","0",""
="1717","長興","01/09","51.4","-0.4","-0.77","年","0.133","0.5","0.7","0","0","0","0","0","0","0",""
="1718","中纖","01/09","6.92","-0.13","-1.84","年","0.189","0","0.65","0.65","0","0.4","0","0","0","0",""
="1720","生達","01/09","60.1","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1721","三晃","01/09","15.35","+0.2","+1.32","年","0","0","0","0","0","0","0","0","0","0",""
="1722","台肥","01/09","46.4","-0.1","-0.22","年","0","0","0","0","0","0","0","0","0","0",""
="1723","中碳","01/09","69.4","+0.1","+0.14","年","0","0","0","0","0","0","0","0","0","0",""
="1725","元禎","01/09","28.15","-0.95","-3.26","年","0","0","0","0","0","0","0","0","0","0",""
="1726","永記","01/09","75.8","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1727","中華化","01/09","45.6","-1.2","-2.56","年","0","0","0","0","0","0","0","0","0","0",""
="1731","美吾華","01/09","21.9","+0.05","+0.23","年","0","0","0","0","0","0","0","0","0","0",""
="1732","毛寶","01/09","27.85","+0.2","+0.72","年","0","0","0","0","0","0","0","0","0","0",""
="1733","五鼎","01/09","29.9","-0.4","-1.32","年","0","0","0","0","0","0","0","0","0","0",""
="1734","杏輝","01/09","30.55","+0.2","+0.66","年","0.144","0","0","0","0","0","0","0","0.8","0.5",""
="1735","日勝化","01/09","16.75","+0.05","+0.3","年","0","0","0","0","0","0","0","0","0","0",""
="1736","喬山","01/09","151","+2","+1.34","年","0","0","0","0","0","0","0","0","0","0",""
="1737","臺鹽","01/09","31.55","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1742","台蠟","01/09","16.4","-0.1","-0.61","年","0.165","0","0","0","0","0","1.489","0","0","0",""
="1752","南光","01/09","37.1","-0.35","-0.93","年","0","0","0","0","0","0","0","0","0","0",""
="1760","寶齡富錦","01/09","64.1","+0.2","+0.31","年","0.111","1","0","0","0","0","0","0","0","0",""
="1762","中化生","01/09","24.95","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1773","勝一","01/09","166.5","+2.5","+1.52","年","0.846","0","0","0","2","1.111","2.5","0","0","2",""
="1776","展宇","01/09","15.45","-0.05","-0.32","年","0","0","0","0","0","0","0","0","0","0",""
="1777","生泰","01/09","72.4","+0.1","+0.14","年","0","0","0","0","0","0","0","0","0","0",""
="1781","合世","01/09","11.25","+0.3","+2.74","年","0","0","0","0","0","0","0","0","0","0",""
="1783","和康生","01/09","44.85","+0.35","+0.79","年","0.167","0","0","0","0","0","1","0.5","0","0",""
="1785","光洋科","01/09","63.1","+1.2","+1.94","年","0","0","0","0","0","0","0","0","0","0",""
="1786","科妍","01/09","75.6","+0.1","+0.13","年","0.15","0","0","0","0.5","0.85","0","0","0","0",""
="1788","杏昌","01/09","137.5","+0.5","+0.36","年","0","0","0","0","0","0","0","0","0","0",""
="1789","神隆","01/09","23.4","+0.7","+3.08","年","0.044","0.4","0","0","0","0","0","0","0","0",""
="1795","美時","01/09","292.5","+5.5","+1.92","年","0","0","0","0","0","0","0","0","0","0",""
="1796","金穎生技","01/09","46.6","+0.6","+1.3","年","0","0","0","0","0","0","0","0","0","0",""
="1799","易威","01/09","33.75","+0.2","+0.6","年","0","0","0","0","0","0","0","0","0","0",""
="1802","台玻","01/09","35","-0.2","-0.57","年","0","0","0","0","0","0","0","0","0","0",""
="1805","寶徠","01/09","12","-0.2","-1.64","年","0","0","0","0","0","0","0","0","0","0",""
="1808","潤隆","01/09","35.95","+1.05","+3.01","年","1.789","0","0","0","2","0.6","1.5","0","12","0",""
="1809","中釉","01/09","18.75","+0.25","+1.35","年","0","0","0","0","0","0","0","0","0","0",""
="1810","和成","01/09","20.35","+1.85","+10","年","0","0","0","0","0","0","0","0","0","0",""
="1813","寶利徠","01/09","13.8","+0.85","+6.56","年","0","0","0","0","0","0","0","0","0","0",""
="1815","富喬","01/09","88.3","+0.1","+0.11","年","0.067","0","0","0.1","0","0","0.3","0.2","0","0",""
="1817","凱撒衛","01/09","38.3","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1903","士紙","01/09","55.4","-0.6","-1.07","年","0","0","0","0","0","0","0","0","0","0",""
="1904","正隆","01/09","17.7","+0.25","+1.43","年","0","0","0","0","0","0","0","0","0","0",""
="1905","華紙","01/09","11.95","+0.2","+1.7","年","0","0","0","0","0","0","0","0","0","0",""
="1907","永豐餘","01/09","25.3","-0.35","-1.36","年","0","0","0","0","0","0","0","0","0","0",""
="2002","中鋼","01/09","19","-0.15","-0.78","年","0","0","0","0","0","0","0","0","0","0",""
"2002A","中鋼特","01/09","39","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="2006","東和鋼鐵","01/09","67.8","+0.2","+0.3","年","0","0","0","0","0","0","0","0","0","0",""
="2007","燁興","01/09","8.04","-0.19","-2.31","年","0","0","0","0","0","0","0","0","0","0",""
="2008","高興昌","01/09","29.5","+0.1","+0.34","年","0","0","0","0","0","0","0","0","0","0",""
