"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="6771","平和環保-創","01/08","44","0","0","半年","0.083","","","","0.5","0","0","0","0","0",""
="6782","視陽","01/08","181","+3.5","+1.97","半年","0","","","","0","0","0","0","0","0","0"
="6899","創為精密","01/08","53.5","+0.2","+0.38","半年","0","","","","","","0","0","0","0","0"
="7714","創泓科技","01/08","169.5","+5.5","+3.35","半年","0.75","","","","","","","","1.5","0",""
="7723","築間","01/08","32.6","-0.4","-1.21","半年","0","","","","","","","0","0","0",""
="7777","能率亞洲","01/08","24.35","-1.15","-4.51","半年","0.15","","","","","","","","0.3","0",""
="8070","長華*","01/08","45.2","+0.3","+0.67","半年","0","0","0","0","0","0","0","0","0","0",""
="8102","傑霖科技","01/08","58.3","-1.9","-3.16","半年","0","","","","","","","0","0","0",""
="8249","菱光","01/08","49.95","-0.95","-1.87","半年","0","0","0","0","0","0","0","0","0","0",""
="8299","群聯","01/08","1700","+25","+1.49","半年","0","0","0","0","0","0","0","0","0","0",""
="8426","紅木-KY","01/08","27.5","-0.05","-0.18","半年","0.05","0.5","0","0","0","0","0","0","0","0","0"
="8431","匯鑽科","01/08","78.8","+0.7","+0.9","","0.102","0","0","0","0","0","0","0","0","1.023","0"
="8444","綠河-KY","01/08","11.25","-0.35","-3.02","半年","0.178","0.1","0","0","1.5","0","0","0","0","0",""
="8446","華研","01/08","96.1","+0.3","+0.31","半年","0.278","1","1.5","0","0","0","0","0","0","0",""
="8941","關中","01/08","44","-0.25","-0.56","半年","0.45","0","1","1","1","0","0","0","1.5","0","0"
="8942","森鉅","01/08","34.15","-0.25","-0.73","半年","0.19","0","0","0","0","0","0","1","0.9","0","0"
="910322","康師傅-DR","01/08","23.15","-0.9","-3.74","半年","0","0","0","0","0","0","0","0","0","0",""
="9105","泰金寶-DR","01/08","5.77","-0.11","-1.87","半年","0.278","0","0","0","0","0.833","0.833","0.833","0","0",""
="910861","神州-DR","01/08","5.34","+0.07","+1.33","半年","0","0","0","0","0","0","0","0","0","0",""
="9802","鈺齊-KY","01/08","100","+0.1","+0.1","半年","0","0","0","0","0","0","0","0","0","0","0"
